STATE/UT,DISTRICT,Infanticide,murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
Maharashtra,Ahmadnagar,0,6,59,30,1,3,0,0,0,0,0,60,159
Maharashtra,Akola,0,3,29,24,0,0,12,0,0,0,0,63,131
Maharashtra,Amravati ,0,5,63,58,0,1,1,0,0,0,0,190,318
Maharashtra,Aurangabad ,0,8,22,51,1,1,5,0,0,0,3,60,151
Maharashtra,Bid,0,12,37,23,0,1,6,1,0,0,2,63,145
Maharashtra,Bhandara,1,3,19,18,0,2,1,0,0,0,0,43,87
Maharashtra,Buldana,0,6,33,19,0,0,4,0,0,0,1,59,122
Maharashtra,Chandrapur,0,4,52,33,2,2,3,0,0,0,0,93,189
Maharashtra,Dhule,0,2,21,13,0,1,9,10,0,0,0,0,56
Maharashtra,Garhchiroli,0,1,17,3,0,0,0,0,0,0,0,29,50
Maharashtra,Gondiya,0,2,23,9,0,0,0,0,0,0,0,32,66
Maharashtra,Hingoli,0,1,7,6,0,0,4,0,0,0,0,0,18
Maharashtra,Jalgaon,0,9,23,34,0,1,9,3,0,0,4,54,137
Maharashtra,Jalna,0,3,4,2,0,0,6,0,0,0,0,5,20
Maharashtra,Kolhapur,0,10,41,40,0,0,2,0,0,0,0,17,110
Maharashtra,Latur,0,4,7,2,0,0,0,0,0,0,0,25,38
Maharashtra,Mumbai,2,7,221,279,9,2,26,2,0,2,0,352,902
Maharashtra,Mumbai suburban,0,0,4,6,0,1,6,0,0,0,0,4,21
Maharashtra,Nagpur,0,3,45,28,0,0,26,0,0,0,0,56,158
Maharashtra,Nanded,0,4,22,25,1,0,22,0,0,0,0,45,119
Maharashtra,Nandurbar,0,1,10,8,0,0,3,0,0,0,0,14,36
Maharashtra,Nashik,1,10,70,94,0,3,20,20,0,0,1,133,350
Maharashtra,Osmanabad,0,0,23,28,0,3,3,0,0,0,0,34,91
Maharashtra,Parbhani,0,4,16,38,0,0,5,0,0,0,0,20,83
Maharashtra,Pune,0,19,175,191,2,0,18,0,2,0,1,305,731
Maharashtra,Raigarh,0,2,21,9,0,0,0,0,0,0,0,19,51
Maharashtra,Ratnagiri,0,2,18,13,0,0,3,0,0,0,0,24,60
Maharashtra,Sangli,0,7,42,32,0,1,6,0,0,1,2,45,136
Maharashtra,Satara,0,9,44,43,1,0,5,0,0,0,0,90,192
Maharashtra,Sindhudurg,0,0,4,5,0,1,1,0,0,0,0,13,24
Maharashtra,Solapur,0,13,54,35,0,0,11,4,0,0,1,38,156
Maharashtra,Thane,1,14,161,291,0,0,28,1,0,10,0,216,722
Maharashtra,Wardha,0,5,43,40,0,0,0,0,0,0,0,83,171
Maharashtra,Washim,0,3,18,11,0,1,1,0,0,0,0,56,90
Maharashtra,Yavatmal,0,5,44,56,0,0,7,0,0,0,0,68,180